wallet,moca_id,moca_xp,week
0x09ae2739278898ee62a7f6b5721fba993bcd8777,3226,172.8,13
0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,6699,130.0,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,1320,176.8,13
0x83d498de2ef7de7076768c0f5a660e9433f45b22,4276,161.6,13
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,1124,172.8,13
0x522562cbdb0ecfdbb331f5e753a0300b993618c7,3926,184.8,13
0x3a521e9591b6145f747bb1dd7798105f2fade3b9,4241,123.0,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,6064,172.8,13
0xd512ffe85be6f9ce44091c4bfb474f0293e818dc,2393,143.0,13
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,4901,172.8,13
0xc912883f4457be8eae99bb0e228f7846108861b6,1602,120.0,13
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,1643,192.8,13
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,3087,172.8,13
0xef5b0873722b25851cd7b1b5ad8b15a50847e72c,5450,120.0,13
0x3688fa747cff8eaddc559a6308d205ea4c49e638,1078,188.8,13
0x009fb719e2cbf58a9cbd1158592d152ff372eec6,4461,120.0,13
0x2f7a721c59e23d27cf93abb1f3c018b8c3de91e2,4520,176.8,13
0x5a1c6b926209a865718d7be43055ab747fdafd57,1296,176.8,13
0x0e6dae2b274757ae0f302e66b9d64deae81a8695,1550,112.0,13
0x855Daf99174B3Eb8CEc4DF11e98cED228bF11A02,4366,184.8,13
0xec3cee706c117e65772ed2a5d15746466ae6f0ce,1314,136.0,13
0x5a1c6b926209a865718d7be43055ab747fdafd57,5985,161.6,13
0x0e7110d45e847629116cda4ba184560a7d40f14a,4516,124.0,13
0x45271308260c3f2c736ca1627a99fb054e5c0388,3277,120.0,13
0x73653035f61f5603c6bef39df972b0d299bd224b,6525,149.4,13
0x29d3c95d4d8a42ad598112a1c6f909e010ad37dc,3359,104.0,13
0xf03186a1fd2b42046768dcdb5aa30604a97747d5,2258,115.8,13
0xb0e8af8ddc8480789b37f90689c5bbba2139804c,1443,98.0,13
0x379d20d18dd21e72463f257804d586e6fcfdbf65,4779,124.0,13
0x3621f96aea9904da476727550ee205ca4c2f779c,3249,116.8,13
0xdba6aee7c7fdecb323d0fdef1900fc99d76ffc38,6111,149.4,13
0xc2c29f5b503d9ae43b44874ea373bc13456f4c94,1842,130.8,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,2970,176.8,13
0x69486873ea8e52151a464f4a5a92c8609171a954,1857,124.0,13
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,4385,175.8,13
0x0eb5e6176daf3cc86f1c891d020890f30775977c,6507,150.4,13
0x0c41684841245296da6c5dfca8e9cd0bd47181d1,2625,121.6,13
0x9f1192009D492E3739F40FD461612659109e0178,1729,175.8,13
0x648170077c732e74d2cea0319b874972b1ac216e,4826,148.0,13
0xd1dfd0124330e14a10408982873585d255301d4a,5360,124.0,13
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,4373,152.0,13
0x83d498de2ef7de7076768c0f5a660e9433f45b22,1843,149.2,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,5871,176.8,13
0xba943f9a82e378eac5c33bbc92263e82ee64f50b,6554,162.8,13
0x24d074530bb9526a67369b67fcf1fa6cf6ef6845,1551,138.8,13
0xd2f0ecf976ba28259a42ff7b38c8279453e21f2b,5242,120.0,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,1121,176.8,13
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,3606,176.8,13
0xc8cf76f9d18aec4e18b8401af40a5d9ab8f901d2,6562,120.0,13
0x947a518695f63096650e7bfd421fd9be8b38be3a,2146,156.8,13
0x268e94649f4f2b7609d012494783d908f051fe74,2589,120.0,13
0x05d93ec016c4ae7a653fe79e6da7746073afb94f,5858,176.8,13
0x0c96a4c2cec463e7fe45f7b10bf543c16778829f,6079,176.8,13
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,2947,172.8,13
0xeec6d9ce9bb491f8843431a86cf24718b5e6b560,6028,130.0,13
0x4c9d50ccac81b7473c222845531dc37f1c416166,3195,115.8,13
0xef5b0873722b25851cd7b1b5ad8b15a50847e72c,5451,120.0,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,6501,160.0,13
0xab0dee2006c7d84330b95cfa7c38da4307dfd74e,5830,176.8,13
0x9f1192009D492E3739F40FD461612659109e0178,4358,156.8,13
0xbe949adac94b2a046b3e86a0c14ca69591c5621a,1977,156.8,13
0xab0a2fc0747c9a7f12f968739da737dab4bdfbe7,2198,151.0,13
0x898b624d296f0af1bcb2853065b1ac151ebc1ccc,3435,161.2,13
0x648170077c732e74d2cea0319b874972b1ac216e,2229,164.0,13
0xc2c29f5b503d9ae43b44874ea373bc13456f4c94,1564,124.0,13
0x36cdffb3165f39714455118262f5ff3ed1d4c7e1,4666,124.0,13
0xc0385c781b2f35ae0ba54c2948f4c23afa3bb954,3718,128.6,13
0x02385273f31812b3da46479aa9a710324830b648,6411,84.0,13
0xbe931D053E0156b527cA478744D212C66684F653,2553,104.0,13
0xdac4c0c7c0fe9890b08ac59bddb3bb96ec098992,2530,172.8,13
